frame_index,timestamp_ms,detected,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z
38,1583.333,True,-0.026141,-0.598418,-0.281603,0.059201,-0.603662,-0.173301,-0.085303,-0.561569,-0.166493,0.15926,-0.434351,-0.05236,-0.136882,-0.492988,-0.003603,0.222719,-0.248342,-0.091817,-0.198688,-0.218284,-0.065922,0.109446,-0.162669,-0.123847,-0.107752,-0.177645,-0.218949,0.099786,0.003326,0.036972,-0.09667,-0.011263,-0.036314
39,1625.0,True,-0.031213,-0.597698,-0.280927,0.056977,-0.602345,-0.170672,-0.089091,-0.560993,-0.161948,0.157398,-0.432795,-0.047593,-0.140661,-0.491486,-0.002747,0.217877,-0.244391,-0.0914,-0.200922,-0.215374,-0.067034,0.111985,-0.145917,-0.122872,-0.108361,-0.159425,-0.219777,0.099707,0.003317,0.036658,-0.096635,-0.011231,-0.035981
40,1666.667,True,-0.033106,-0.596887,-0.278026,0.055695,-0.60145,-0.167288,-0.090865,-0.560736,-0.158424,0.155669,-0.431918,-0.042882,-0.142065,-0.491086,-8.1e-05,0.212211,-0.239351,-0.088419,-0.202705,-0.215011,-0.066443,0.103233,-0.139301,-0.116595,-0.108186,-0.153772,-0.212075,0.099663,0.003229,0.036715,-0.096604,-0.011153,-0.036043
41,1708.333,True,-0.033208,-0.595914,-0.278383,0.05572,-0.600531,-0.167789,-0.09091,-0.560154,-0.158526,0.155718,-0.430971,-0.042682,-0.142099,-0.490944,-0.00031,0.208289,-0.236036,-0.088875,-0.205323,-0.214333,-0.066888,0.099165,-0.137003,-0.115874,-0.108952,-0.152024,-0.212705,0.099509,0.003238,0.036714,-0.096513,-0.011154,-0.036045
42,1750.0,True,-0.033122,-0.594971,-0.278521,0.055744,-0.599981,-0.167782,-0.091889,-0.559679,-0.158988,0.155575,-0.430694,-0.041656,-0.142365,-0.490581,-0.000473,0.209364,-0.235152,-0.085984,-0.205678,-0.213859,-0.06711,0.102454,-0.135565,-0.113245,-0.109149,-0.150712,-0.213946,0.099517,0.003227,0.036644,-0.096527,-0.01114,-0.035965
43,1791.667,True,-0.03301,-0.593221,-0.280052,0.055778,-0.599852,-0.168949,-0.091882,-0.559481,-0.161513,0.155693,-0.430581,-0.042302,-0.14225,-0.490783,-0.001786,0.210775,-0.233895,-0.086214,-0.206224,-0.217975,-0.068786,0.103961,-0.128406,-0.11603,-0.110854,-0.147816,-0.215049,0.099505,0.003217,0.036634,-0.096494,-0.011139,-0.035957
44,1833.333,True,-0.032882,-0.590169,-0.284995,0.055806,-0.599901,-0.175781,-0.091707,-0.559382,-0.168539,0.156073,-0.430679,-0.047533,-0.141342,-0.491634,-0.005324,0.211388,-0.232101,-0.091016,-0.206142,-0.221373,-0.068939,0.105922,-0.123533,-0.117702,-0.111401,-0.14221,-0.206403,0.098918,0.003235,0.036244,-0.095728,-0.011171,-0.035676
45,1875.0,True,-0.02957,-0.589588,-0.285476,0.05954,-0.60013,-0.177823,-0.087631,-0.559776,-0.170372,0.162001,-0.431017,-0.047918,-0.133796,-0.492245,-0.0067,0.218719,-0.231931,-0.095644,-0.196015,-0.223376,-0.072215,0.107352,-0.127028,-0.136874,-0.103235,-0.143599,-0.206914,0.098828,0.003243,0.036304,-0.095566,-0.011256,-0.03574
46,1916.667,True,-0.029736,-0.589349,-0.288542,0.059735,-0.60002,-0.180388,-0.087689,-0.560006,-0.171634,0.161984,-0.431036,-0.052063,-0.134061,-0.492626,-0.008597,0.218823,-0.232565,-0.097932,-0.196683,-0.223123,-0.078193,0.109766,-0.128441,-0.136733,-0.104152,-0.144596,-0.218049,0.098793,0.003281,0.035708,-0.095519,-0.011276,-0.035109
47,1958.333,True,-0.028629,-0.588518,-0.288511,0.060575,-0.599337,-0.1797,-0.087478,-0.55959,-0.171427,0.16255,-0.430898,-0.051096,-0.133911,-0.49232,-0.007011,0.22229,-0.232648,-0.098262,-0.195129,-0.222861,-0.077497,0.109668,-0.140092,-0.140233,-0.104641,-0.145115,-0.21817,0.098814,0.003266,0.035687,-0.095534,-0.011271,-0.035081
